Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Complete_RatioFirst,17539,182,2499,true,-1,-1
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Complete_DomOverWDeg,17539,6338,483572,true,-1,-1
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Complete_MILP_ORTools,17539,43,-1,true,-1,-1
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Probabilistic_Greedy,16882,2,0,false,-1,-1
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Incomplete_LNS,16735,1,26,false,-1,-1
02StronglyCorrelated_n00050_R01000_s001,facile,Unknown,50,11793,23823,28823,Complete_RatioFirst,15293,137,22074,true,-1,-1
02StronglyCorrelated_n00050_R01000_s001,facile,Unknown,50,11793,23823,28823,Complete_DomOverWDeg,15293,1090,101766,true,-1,-1
02StronglyCorrelated_n00050_R01000_s001,facile,Unknown,50,11793,23823,28823,Complete_MILP_ORTools,15292,16,-1,true,-1,-1
02StronglyCorrelated_n00050_R01000_s001,facile,Unknown,50,11793,23823,28823,Probabilistic_Greedy,14728,1,0,false,-1,-1
02StronglyCorrelated_n00050_R01000_s001,facile,Unknown,50,11793,23823,28823,Incomplete_LNS,14366,0,27,false,-1,-1
02StronglyCorrelated_n00050_R01000_s002,facile,Unknown,50,13570,27413,32413,Complete_RatioFirst,16970,12,1424,true,-1,-1
02StronglyCorrelated_n00050_R01000_s002,facile,Unknown,50,13570,27413,32413,Complete_DomOverWDeg,16970,1680,160680,true,-1,-1
02StronglyCorrelated_n00050_R01000_s002,facile,Unknown,50,13570,27413,32413,Complete_MILP_ORTools,16970,39,-1,true,-1,-1
02StronglyCorrelated_n00050_R01000_s002,facile,Unknown,50,13570,27413,32413,Probabilistic_Greedy,16022,1,0,false,-1,-1
02StronglyCorrelated_n00050_R01000_s002,facile,Unknown,50,13570,27413,32413,Incomplete_LNS,16150,1,28,false,-1,-1
02StronglyCorrelated_n00050_R01000_s003,facile,Unknown,50,13214,26694,31694,Complete_RatioFirst,16614,1,60,true,-1,-1
02StronglyCorrelated_n00050_R01000_s003,facile,Unknown,50,13214,26694,31694,Complete_DomOverWDeg,16614,3382,318613,true,-1,-1
02StronglyCorrelated_n00050_R01000_s003,facile,Unknown,50,13214,26694,31694,Complete_MILP_ORTools,16614,10,-1,true,-1,-1
02StronglyCorrelated_n00050_R01000_s003,facile,Unknown,50,13214,26694,31694,Probabilistic_Greedy,16011,1,0,false,-1,-1
02StronglyCorrelated_n00050_R01000_s003,facile,Unknown,50,13214,26694,31694,Incomplete_LNS,15931,0,29,false,-1,-1
02StronglyCorrelated_n00050_R01000_s004,facile,Unknown,50,12263,24772,29772,Complete_RatioFirst,15763,4,408,true,-1,-1
02StronglyCorrelated_n00050_R01000_s004,facile,Unknown,50,12263,24772,29772,Complete_DomOverWDeg,15763,2219,233479,true,-1,-1
02StronglyCorrelated_n00050_R01000_s004,facile,Unknown,50,12263,24772,29772,Complete_MILP_ORTools,15763,48,-1,true,-1,-1
02StronglyCorrelated_n00050_R01000_s004,facile,Unknown,50,12263,24772,29772,Probabilistic_Greedy,14636,0,0,false,-1,-1
02StronglyCorrelated_n00050_R01000_s004,facile,Unknown,50,12263,24772,29772,Incomplete_LNS,14944,1,28,false,-1,-1
02StronglyCorrelated_n00050_R01000_s005,facile,Unknown,50,12719,25693,30693,Complete_RatioFirst,16219,38,6114,true,-1,-1
02StronglyCorrelated_n00050_R01000_s005,facile,Unknown,50,12719,25693,30693,Complete_DomOverWDeg,16219,2686,272175,true,-1,-1
