Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
02StronglyCorrelated_n00200_R01000_s007,moyen,Unknown,200,46337,93602,113602,Probabilistic_Greedy,57117,1,0,false,-1,-1
02StronglyCorrelated_n00200_R01000_s007,moyen,Unknown,200,46337,93602,113602,Incomplete_LNS,56628,2,104,false,-1,-1
02StronglyCorrelated_n00200_R01000_s008,moyen,Unknown,200,48558,98089,118089,Complete_RatioFirst,62758,43331,2576015,true,-1,-1
02StronglyCorrelated_n00200_R01000_s008,moyen,Unknown,200,48558,98089,118089,Complete_DomOverWDeg,59858,300000,18206490,false,-1,-1
02StronglyCorrelated_n00200_R01000_s008,moyen,Unknown,200,48558,98089,118089,Complete_MILP_ORTools,62758,10,-1,true,-1,-1
02StronglyCorrelated_n00200_R01000_s008,moyen,Unknown,200,48558,98089,118089,Probabilistic_Greedy,59957,0,0,false,-1,-1
02StronglyCorrelated_n00200_R01000_s008,moyen,Unknown,200,48558,98089,118089,Incomplete_LNS,59557,1,111,false,-1,-1
02StronglyCorrelated_n00200_R01000_s009,moyen,Unknown,200,46604,94142,114142,Complete_RatioFirst,60904,2892,170606,true,-1,-1
02StronglyCorrelated_n00200_R01000_s009,moyen,Unknown,200,46604,94142,114142,Complete_DomOverWDeg,57104,300000,18624796,false,-1,-1
02StronglyCorrelated_n00200_R01000_s009,moyen,Unknown,200,46604,94142,114142,Complete_MILP_ORTools,60900,68,-1,true,-1,-1
02StronglyCorrelated_n00200_R01000_s009,moyen,Unknown,200,46604,94142,114142,Probabilistic_Greedy,57996,2,0,false,-1,-1
02StronglyCorrelated_n00200_R01000_s009,moyen,Unknown,200,46604,94142,114142,Incomplete_LNS,57196,0,107,false,-1,-1
02StronglyCorrelated_n00500_R01000_s000,difficile,Unknown,500,127278,257103,307103,Complete_RatioFirst,162178,300000,11236551,false,-1,-1
02StronglyCorrelated_n00500_R01000_s000,difficile,Unknown,500,127278,257103,307103,Complete_DomOverWDeg,152778,299999,11693132,false,-1,-1
02StronglyCorrelated_n00500_R01000_s000,difficile,Unknown,500,127278,257103,307103,Complete_MILP_ORTools,162178,22,-1,true,-1,-1
02StronglyCorrelated_n00500_R01000_s000,difficile,Unknown,500,127278,257103,307103,Probabilistic_Greedy,154876,3,0,false,-1,-1
02StronglyCorrelated_n00500_R01000_s000,difficile,Unknown,500,127278,257103,307103,Incomplete_LNS,152476,2,253,false,-1,-1
02StronglyCorrelated_n00500_R01000_s001,difficile,Unknown,500,123764,250004,300004,Complete_RatioFirst,159064,300000,10803154,false,-1,-1
02StronglyCorrelated_n00500_R01000_s001,difficile,Unknown,500,123764,250004,300004,Complete_DomOverWDeg,147764,300000,12656166,false,-1,-1
02StronglyCorrelated_n00500_R01000_s001,difficile,Unknown,500,123764,250004,300004,Complete_MILP_ORTools,159064,43,-1,true,-1,-1
02StronglyCorrelated_n00500_R01000_s001,difficile,Unknown,500,123764,250004,300004,Probabilistic_Greedy,151861,2,0,false,-1,-1
02StronglyCorrelated_n00500_R01000_s001,difficile,Unknown,500,123764,250004,300004,Incomplete_LNS,149262,1,256,false,-1,-1
02StronglyCorrelated_n00500_R01000_s002,difficile,Unknown,500,125404,253317,303317,Complete_RatioFirst,160404,300001,10531501,false,-1,-1
02StronglyCorrelated_n00500_R01000_s002,difficile,Unknown,500,125404,253317,303317,Complete_DomOverWDeg,151104,300000,13055774,false,-1,-1
02StronglyCorrelated_n00500_R01000_s002,difficile,Unknown,500,125404,253317,303317,Complete_MILP_ORTools,160402,25,-1,true,-1,-1
02StronglyCorrelated_n00500_R01000_s002,difficile,Unknown,500,125404,253317,303317,Probabilistic_Greedy,152688,2,0,false,-1,-1
02StronglyCorrelated_n00500_R01000_s002,difficile,Unknown,500,125404,253317,303317,Incomplete_LNS,151099,3,258,false,-1,-1
02StronglyCorrelated_n00500_R01000_s003,difficile,Unknown,500,125125,252754,302754,Complete_RatioFirst,159925,300000,10936581,false,-1,-1
02StronglyCorrelated_n00500_R01000_s003,difficile,Unknown,500,125125,252754,302754,Complete_DomOverWDeg,148625,300000,12296050,false,-1,-1
02StronglyCorrelated_n00500_R01000_s003,difficile,Unknown,500,125125,252754,302754,Complete_MILP_ORTools,159924,45,-1,true,-1,-1
02StronglyCorrelated_n00500_R01000_s003,difficile,Unknown,500,125125,252754,302754,Probabilistic_Greedy,152522,4,0,false,-1,-1
02StronglyCorrelated_n00500_R01000_s003,difficile,Unknown,500,125125,252754,302754,Incomplete_LNS,149721,2,247,false,-1,-1
02StronglyCorrelated_n00500_R01000_s004,difficile,Unknown,500,128232,259029,309029,Complete_RatioFirst,163332,300003,8850110,false,-1,-1
02StronglyCorrelated_n00500_R01000_s004,difficile,Unknown,500,128232,259029,309029,Complete_DomOverWDeg,153932,300022,3738748,false,-1,-1
