Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Incomplete_LNS,15572,60000,18893577,false,-1,-1
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Incomplete_Greedy,19676,0,0,false,-1,-1
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Complete_FirstFail,12232,60000,23853889,false,-1,-1
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Complete_DomOverWDeg,12352,60001,13706362,false,-1,-1
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Complete_MILP_ORTools,13472,56,-1,true,-1,-1
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Incomplete_LNS,11740,60000,27657296,false,-1,-1
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Incomplete_Greedy,13404,0,0,false,-1,-1
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Complete_FirstFail,9680,59999,25029369,false,-1,-1
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Complete_DomOverWDeg,9445,60000,11304547,false,-1,-1
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Complete_MILP_ORTools,10354,30,-1,true,-1,-1
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Incomplete_LNS,9241,60000,28866302,false,-1,-1
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Incomplete_Greedy,10354,0,0,false,-1,-1
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Complete_FirstFail,35913,60000,744055,false,-1,-1
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Complete_DomOverWDeg,36566,60000,1474877,false,-1,-1
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Complete_MILP_ORTools,46537,17,-1,true,-1,-1
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Incomplete_LNS,31887,59999,11562331,false,-1,-1
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Incomplete_Greedy,46365,0,0,false,-1,-1
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Complete_FirstFail,33659,60001,918147,false,-1,-1
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Complete_DomOverWDeg,33666,60001,1497297,false,-1,-1
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Complete_MILP_ORTools,41049,10,-1,true,-1,-1
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Incomplete_LNS,27354,60000,13440356,false,-1,-1
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Incomplete_Greedy,41049,1,0,false,-1,-1
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Complete_FirstFail,29333,60000,1297906,false,-1,-1
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Complete_DomOverWDeg,28799,60001,2612067,false,-1,-1
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Complete_MILP_ORTools,31064,47,-1,true,-1,-1
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Incomplete_LNS,28998,60000,14733344,false,-1,-1
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Incomplete_Greedy,31012,0,0,false,-1,-1
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Complete_FirstFail,25950,60000,1494387,false,-1,-1
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Complete_DomOverWDeg,25694,60001,2796030,false,-1,-1
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Complete_MILP_ORTools,27624,14,-1,true,-1,-1
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Incomplete_LNS,25152,59993,10308023,false,-1,-1
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Incomplete_Greedy,27565,0,0,false,-1,-1
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Complete_FirstFail,34017,59993,654115,false,-1,-1
